NeEmoji,NePosition,PEmoji,PPosition,NUEmoji,NUPosition
😖,0.868926665,😀,0.786284933,😡,0.861522028
😞,0.825187832,😂,0.805100583,😠,0.849218089
😟,0.824309355,😃,0.734782211,😐,0.882732825
😤,0.884007985,😄,0.794972621,😑,0.844272967
😢,0.813896833,😅,0.827654572,😶,0.868667638
😭,0.803351976,😆,0.809376422,😏,0.764977294
😦,0.882218595,😉,0.844832651,😣,0.903307721
😧,0.774990088,😊,0.813302436,😥,0.881976694
😨,0.813687927,😋,0.76498518,😮,0.774237435
😩,0.826213985,😎,0.76564387,😯,0.859007902
😬,0.793679841,😍,0.765292366,😪,0.858219873
😰,0.919654285,😘,0.854480172,😫,0.839517641
😱,0.773313178,😗,0.714328477,😴,0.849922938
😳,0.797185814,😙,0.875675106,😌,0.847121229
😵,0.808813841,😚,0.853414944,😛,0.734419263
,,,,😜,0.822246602
,,,,😝,0.808808972
,,,,😒,0.857620553
,,,,😓,0.844887359
,,,,😔,0.86614594
,,,,😕,0.856711865
